PLAYER,TEAM,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,STARTER,HOME,GP
Killian Tillie,MEM,1.4291,0.0,0.5,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.125,0.5,0.0,0.25,0.125,0.125,0.0,0.0,0.625,0.0,0.5,8
Kira Lewis,NOP,14.0418,2.4444,6.0,0.3398,0.5556,2.1111,0.2222,0.1111,0.1111,0.1111,0.2222,1.8889,2.1111,2.3333,0.1111,0.0,1.5556,1.2222,5.5556,-6.5556,0.0,0.4444,9
Kristaps Porziņģis,DAL,25.8433,4.3333,14.3333,0.286,1.3333,5.6667,0.2407,2.6667,3.6667,0.778,1.6667,4.3333,6.0,0.6667,0.6667,2.0,1.6667,2.0,12.6667,-10.0,1.0,0.3333,3
Kyle Anderson,MEM,22.2805,3.25,8.125,0.3971,1.125,2.75,0.3209,0.875,1.0,0.4375,1.25,4.375,5.625,2.125,0.75,0.625,0.625,1.5,8.5,-7.375,0.0,0.5,8
Kyle Kuzma,WAS,34.4932,5.375,13.5,0.375,2.0,6.375,0.2905,1.375,2.875,0.3036,1.5,8.5,10.0,1.625,0.875,0.625,1.75,2.25,14.125,-2.25,1.0,0.5,8
Kyle Lowry,MIA,27.3024,3.1429,7.8571,0.3413,1.8571,5.0,0.2858,1.0,1.0,0.5714,0.4286,3.1429,3.5714,6.4286,0.8571,0.2857,2.0,2.0,9.1429,11.7143,0.8571,0.4286,7
LaMarcus Aldridge,BRK,19.7402,5.4286,8.2857,0.572,0.2857,1.0,0.0714,1.1429,1.8571,0.5119,1.5714,3.2857,4.8571,0.5714,0.2857,1.2857,1.0,2.1429,12.2857,6.4286,0.0,0.7143,7
LaMelo Ball,CHO,30.2465,7.3333,17.3333,0.4129,2.8889,7.2222,0.3386,1.8889,2.0,0.75,1.3333,4.6667,6.0,6.3333,1.8889,0.4444,2.5556,3.5556,19.4444,2.6667,1.0,0.4444,9
Lamar Stevens,CLE,5.6698,0.3333,1.8889,0.09,0.1111,0.4444,0.1111,0.0,0.0,0.0,0.6667,0.4444,1.1111,0.1111,0.2222,0.0,0.1111,0.6667,0.7778,2.0,0.0,0.3333,9
Landry Shamet,PHO,16.6555,1.5,4.0,0.3655,1.0,2.8333,0.4443,0.3333,0.6667,0.1667,0.3333,1.8333,2.1667,0.8333,0.0,0.0,0.5,1.5,4.3333,-3.8333,0.0,0.6667,6
